first_name,middle_bane,last_name,email,phone_number,street_ad,city,state,postal_code,dob,hire_date,tenured
Tallie,Rosalyn,Dumingos,rdumingos0@elpais.com,(317) 2033867,0 Morningstar Point,Indianapolis,IN,46226,01/12/1984,03/22/2004,true
Hadrian,Caz,Doel,cdoel1@jigsy.com,(321) 8131625,9708 Dryden Lane,Orlando,FL,32835,01/08/1978,09/08/1994,false
Boony,Pren,Korneichik,pkorneichik2@wix.com,(260) 7015915,83 Arapahoe Avenue,Fort Wayne,IN,46805,05/29/1978,09/25/2013,true
Dona,Carey,Finlaison,cfinlaison3@amazon.com,(505) 3850791,73 Kipling Crossing,Albuquerque,NM,87140,12/07/1999,04/28/1991,false
Darin,Stephie,Duckers,sduckers4@cpanel.net,(701) 5629865,07904 Donald Place,Bismarck,ND,58505,10/01/1985,04/09/2004,false
Korrie,Oralle,Hatherley,ohatherley5@cloudflare.com,(415) 9222708,31 Merchant Road,San Francisco,CA,94159,10/22/1977,03/27/1985,true
Galen,Hew,Stainer,hstainer6@edublogs.org,(213) 1462548,652 Arapahoe Park,Los Angeles,CA,90101,01/07/1986,01/29/1998,true
Vina,Aviva,Standfield,astandfield7@foxnews.com,(239) 7904282,174 Graceland Park,Cape Coral,FL,33915,10/15/2002,10/05/2002,true
Alec,Griffith,Lawley,glawley8@xinhuanet.com,(562) 1823144,365 Red Cloud Street,San Francisco,CA,94110,06/27/1984,08/14/2005,true
Sidonnie,Tobey,Drakeford,tdrakeford9@vkontakte.ru,(513) 4369163,03 Chinook Street,Cincinnati,OH,45233,10/06/1973,04/15/1998,false
Marketa,Rafferty,Witcher,rwitchera@webeden.co.uk,(850) 5795994,620 Golf Course Crossing,Pensacola,FL,32526,03/25/1988,04/04/1980,true
Jamey,Elfie,Vallerine,evallerineb@deliciousdays.com,(309) 9416070,327 Chive Pass,Peoria,IL,61656,03/31/1998,12/24/1995,true
Bernita,Nanine,Yannoni,nyannonic@theguardian.com,(727) 3209738,0 Mallard Trail,Saint Petersburg,FL,33731,09/10/1983,02/23/2007,false
Porter,Fredericka,Henrichsen,fhenrichsend@shinystat.com,(785) 9438169,4 Village Green Trail,Topeka,KS,66622,10/25/1980,02/23/2010,true
Judi,Wes,Buffey,wbuffeye@cocolog-nifty.com,(605) 4268339,52 Blackbird Drive,Sioux Falls,SD,57188,05/24/1978,02/05/2012,true
Rae,Erena,Dumbelton,edumbeltonf@wiley.com,(314) 3249417,0226 Victoria Crossing,Saint Louis,MO,63121,08/21/1985,11/14/2002,true
Augusto,Mordy,Brabbs,mbrabbsg@npr.org,(859) 3397166,11361 Aberg Point,Lexington,KY,40591,01/17/1980,08/04/2013,false
Jillene,Hercule,Gardiner,hgardinerh@hatena.ne.jp,(281) 3940860,221 Porter Drive,Pasadena,TX,77505,04/11/1972,02/20/2009,true
Trace,Darnell,Glasscoe,dglasscoei@discuz.net,(253) 4010675,6 Hanover Park,Tacoma,WA,98464,06/19/1979,03/23/1980,true
Hermann,Cass,Figiovanni,cfigiovannij@behance.net,(601) 9374557,73 Haas Drive,Jackson,MS,39296,09/04/1979,06/27/2019,true
